from	to	weight
301133	301143	0.725
301134	301143	0.25
301135	301143	0.244
301136	301143	0.602
301138	301143	0.74
301139	301143	0.155
301140	301143	0.937
301383	301143	0.538
301141	301143	0.747
301142	301143	0.791
301001	301144	0.237
301010	301144	0.237
301092	301144	0.801
301093	301144	0.498
301094	301144	0.3
301095	301144	0.512
301096	301144	0.342
301097	301144	0.352
301098	301144	0.303
301099	301144	0.278
301100	301144	0.438
301102	301144	0.273
301104	301144	0.306
301106	301144	0.618
301108	301144	0.475
301109	301144	0.502
301110	301144	0.298
301112	301144	0.674
301113	301144	0.207
301114	301144	0.319
301115	301144	0.331
301116	301144	0.264
301117	301144	0.301
301120	301144	0.508
301012	301144	0.666
301121	301144	0.616
301122	301144	0.28
301123	301144	0.27
301124	301144	0.498
301125	301144	0.667
301127	301144	0.642
301128	301144	0.297
301129	301144	0.319
301130	301144	0.503
301131	301144	0.34
301133	301144	0.295
301134	301144	0.761
301135	301144	0.496
301136	301144	0.364
301138	301144	0.325
301139	301144	0.379
301140	301144	0.243
301383	301144	0.347
301141	301144	0.32
301142	301144	0.317
301143	301144	0.271
301001	301145	0.197
301010	301145	0.215
301092	301145	0.472
301093	301145	0.626
301094	301145	0.304
301095	301145	0.631
301096	301145	0.3
301097	301145	0.29
301098	301145	0.274
301099	301145	0.252
301100	301145	0.654
301102	301145	0.237
301104	301145	0.342
301106	301145	0.397
301108	301145	0.606
301109	301145	0.637
301110	301145	0.259
301112	301145	0.436
301113	301145	0.194
301114	301145	0.279
301115	301145	0.28
301116	301145	0.236
301117	301145	0.267
301120	301145	0.7
301012	301145	0.443
301121	301145	0.446
301122	301145	0.245
301123	301145	0.235
301124	301145	0.693
301125	301145	0.489
301127	301145	0.487
301128	301145	0.262
301129	301145	0.285
301130	301145	0.575
301131	301145	0.287
301133	301145	0.299
301134	301145	0.457
301135	301145	0.636
301136	301145	0.352
301138	301145	0.295
301139	301145	0.52
301140	301145	0.197
301383	301145	0.358
301141	301145	0.283
301142	301145	0.302
301143	301145	0.236
301144	301145	0.451
301001	301146	0.715
301010	301146	0.667
301092	301146	0.319
301093	301146	0.326
301094	301146	0.532
301095	301146	0.342
301096	301146	0.813
301097	301146	0.846
301098	301146	0.735
301099	301146	0.714
301100	301146	0.281
301102	301146	0.73
301104	301146	0.493
301106	301146	0.244
301108	301146	0.296
301109	301146	0.282
301110	301146	0.772
301112	301146	0.316
301113	301146	0.584
301114	301146	0.796
301115	301146	0.811
301116	301146	0.679
301117	301146	0.784
301120	301146	0.337
301012	301146	0.314
301121	301146	0.327
301122	301146	0.722
301123	301146	0.697
301124	301146	0.32
301125	301146	0.331
301127	301146	0.314
301128	301146	0.735
301129	301146	0.747
301130	301146	0.31
301131	301146	0.751
301133	301146	0.663
301134	301146	0.308
301135	301146	0.279
301136	301146	0.618
