from	to	weight
301001	301041	0.002
301002	301041	0.002
301003	301041	0.012
301004	301041	0.024
301005	301041	0.003
301006	301041	0.015
301007	301041	0.002
301008	301041	0.003
301009	301041	0.002
301010	301041	0.002
301012	301041	0.011
301014	301041	0.003
301015	301041	0.006
301016	301041	0.022
301017	301041	0.043
301018	301041	0.002
301019	301041	0.032
301020	301041	0.003
301022	301041	0.002
301023	301041	0.002
301024	301041	0.002
301025	301041	0.002
301026	301041	0.023
301027	301041	0.011
301028	301041	0.009
301029	301041	0.002
301030	301041	0.003
301031	301041	0.033
301032	301041	0.026
301033	301041	0.022
301034	301041	0.003
301035	301041	0.003
301037	301041	0.02
301038	301041	0.003
301039	301041	0.004
301040	301041	0.014
301001	301042	0.007
301002	301042	0.007
301003	301042	0.008
301004	301042	0.006
301005	301042	0.019
301006	301042	0.004
301007	301042	0.007
301008	301042	0.013
301009	301042	0.008
301010	301042	0.011
301012	301042	0.008
301014	301042	0.011
301015	301042	0.003
301016	301042	0.006
301017	301042	0.005
301018	301042	0.009
301019	301042	0.005
301020	301042	0.023
301022	301042	0.009
301023	301042	0.007
301024	301042	0.008
301025	301042	0.008
301026	301042	0.005
301027	301042	0.008
301028	301042	0.009
301029	301042	0.006
301030	301042	0.016
301031	301042	0.005
301032	301042	0.004
301033	301042	0.004
301034	301042	0.011
301035	301042	0.013
301037	301042	0.005
301038	301042	0.02
301039	301042	0.012
301040	301042	0.008
301041	301042	0.005
301001	301043	0.01
301002	301043	0.01
301003	301043	0.005
301004	301043	0.004
301005	301043	0.018
301006	301043	0.003
301007	301043	0.01
301008	301043	0.022
301009	301043	0.012
301010	301043	0.025
301012	301043	0.005
301014	301043	0.019
301015	301043	0.002
301016	301043	0.004
301017	301043	0.003
301018	301043	0.011
301019	301043	0.003
301020	301043	0.043
301022	301043	0.015
301023	301043	0.009
301024	301043	0.012
301025	301043	0.01
301026	301043	0.003
301027	301043	0.005
301028	301043	0.006
301029	301043	0.007
301030	301043	0.032
301031	301043	0.003
301032	301043	0.003
301033	301043	0.003
301034	301043	0.01
301035	301043	0.025
301037	301043	0.003
301038	301043	0.024
301039	301043	0.012
301040	301043	0.005
301041	301043	0.003
301042	301043	0.018
301001	301045	0.002
301002	301045	0.002
301003	301045	0.011
301004	301045	0.021
301005	301045	0.003
301006	301045	0.024
301007	301045	0.002
301008	301045	0.003
301009	301045	0.002
301010	301045	0.002
301012	301045	0.011
301014	301045	0.002
301015	301045	0.008
301016	301045	0.019
301017	301045	0.035
301018	301045	0.002
301019	301045	0.036
301020	301045	0.003
301022	301045	0.002
301023	301045	0.002
301024	301045	0.002
301025	301045	0.002
301026	301045	0.08
301027	301045	0.01
301028	301045	0.009
301029	301045	0.002
301030	301045	0.003
301031	301045	0.035
301032	301045	0.135
301033	301045	0.05
301034	301045	0.003
301035	301045	0.002
301037	301045	0.015
301038	301045	0.003
301039	301045	0.004
301040	301045	0.015
301041	301045	0.032
301042	301045	0.004
301043	301045	0.003
301001	301047	0.043
301002	301047	0.04
301003	301047	0.003
301004	301047	0.003
301005	301047	0.012
301006	301047	0.002
301007	301047	0.035
301008	301047	0.013
301009	301047	0.058
301010	301047	0.022
301012	301047	0.003
301014	301047	0.018
301015	301047	0.002
301016	301047	0.002
301017	301047	0.002
301018	301047	0.012
301019	301047	0.002
301020	301047	0.014
301022	301047	0.051
301023	301047	0.022
301024	301047	0.042
301025	301047	0.02
301026	301047	0.002
301027	301047	0.003
301028	301047	0.003
301029	301047	0.014
301030	301047	0.016
301031	301047	0.002
301032	301047	0.002
301033	301047	0.002
301034	301047	0.005
301035	301047	0.026
301037	301047	0.002
301038	301047	0.009
301039	301047	0.005
301040	301047	0.003
301041	301047	0.002
301042	301047	0.008
301043	301047	0.014
301045	301047	0.002
301001	301049	0.002
301002	301049	0.002
301003	301049	0.022
301004	301049	0.031
301005	301049	0.004
301006	301049	0.016
301007	301049	0.002
301008	301049	0.004
301009	301049	0.003
301010	301049	0.003
301012	301049	0.03
301014	301049	0.003
301015	301049	0.007
301016	301049	0.02
301017	301049	0.02
301018	301049	0.003
301019	301049	0.025
301020	301049	0.004
301022	301049	0.003
301023	301049	0.002
301024	301049	0.003
301025	301049	0.003
301026	301049	0.023
301027	301049	0.016
301028	301049	0.017
301029	301049	0.002
301030	301049	0.004
301031	301049	0.017
301032	301049	0.02
301033	301049	0.017
301034	301049	0.005
301035	301049	0.003
301037	301049	0.013
301038	301049	0.005
301039	301049	0.006
301040	301049	0.043
301041	301049	0.016
301042	301049	0.006
301043	301049	0.004
301045	301049	0.019
301047	301049	0.003
301001	301050	0.009
301002	301050	0.009
301003	301050	0.005
301004	301050	0.004
301005	301050	0.023
301006	301050	0.003
301007	301050	0.008
301008	301050	0.027
301009	301050	0.01
301010	301050	0.026
301012	301050	0.005
301014	301050	0.023
301015	301050	0.002
301016	301050	0.004
301017	301050	0.003
301018	301050	0.008
301019	301050	0.004
301020	301050	0.028
301022	301050	0.014
301023	301050	0.007
301024	301050	0.01
301025	301050	0.008
301026	301050	0.003
301027	301050	0.005
301028	301050	0.006
301029	301050	0.006
301030	301050	0.017
301031	301050	0.003
301032	301050	0.003
301033	301050	0.003
301034	301050	0.008
301035	301050	0.017
301037	301050	0.003
301038	301050	0.027
301039	301050	0.01
301040	301050	0.005
301041	301050	0.003
301042	301050	0.015
301043	301050	0.036
301045	301050	0.003
301047	301050	0.012
301049	301050	0.004
301001	301051	0.007
301002	301051	0.007
301003	301051	0.006
301004	301051	0.005
301005	301051	0.02
301006	301051	0.004
301007	301051	0.007
301008	301051	0.012
301009	301051	0.008
301010	301051	0.012
301012	301051	0.007
301014	301051	0.012
301015	301051	0.003
301016	301051	0.005
301017	301051	0.005
301018	301051	0.006
301019	301051	0.005
301020	301051	0.016
301022	301051	0.009
301023	301051	0.006
301024	301051	0.007
301025	301051	0.006
301026	301051	0.004
301027	301051	0.006
301028	301051	0.007
301029	301051	0.005
301030	301051	0.01
301031	301051	0.004
301032	301051	0.004
301033	301051	0.004
301034	301051	0.006
301035	301051	0.011
301037	301051	0.004
301038	301051	0.014
301039	301051	0.009
301040	301051	0.007
301041	301051	0.004
301042	301051	0.016
301043	301051	0.016
301045	301051	0.004
301047	301051	0.009
301049	301051	0.006
301050	301051	0.021
301001	301052	0.007
301002	301052	0.008
301003	301052	0.005
301004	301052	0.004
301005	301052	0.009
301006	301052	0.003
301007	301052	0.008
301008	301052	0.009
301009	301052	0.01
301010	301052	0.009
301012	301052	0.005
301014	301052	0.008
301015	301052	0.002
301016	301052	0.004
301017	301052	0.003
301018	301052	0.022
301019	301052	0.003
301020	301052	0.014
301022	301052	0.009
301023	301052	0.009
301024	301052	0.01
301025	301052	0.011
301026	301052	0.003
301027	301052	0.005
301028	301052	0.006
301029	301052	0.008
301030	301052	0.022
301031	301052	0.003
301032	301052	0.003
301033	301052	0.003
301034	301052	0.017
301035	301052	0.014
301037	301052	0.003
301038	301052	0.011
301039	301052	0.01
301040	301052	0.005
301041	301052	0.003
